Bit Depth (MD) m,SWOB kips,DWOB kips,HKLD-96%,HKLD-97%,HKLD-98%,HKLD-99%
2060.9510512959596,4.366716111991346,5.5910322112615125,117.03932548504032,126.00386020225534,135.83169961843157,146.61151758492974
2061.2006987839595,4.421917053914749,5.681894397304907,117.00066855729241,125.96234080801342,135.78704209578424,146.56341795750913
2061.4503462719595,4.465115284505133,5.766695763122965,116.97087557936743,125.93028887618775,135.752513667756,146.52617314624266
2061.6999937599594,4.473152535257669,5.780437415234588,116.966071237071,125.92503997246257,135.7467773903444,146.51990228545023
2061.9496412479593,4.420420187466121,5.706385890058768,117.00715683582723,125.96900683813327,135.79390299536342,146.57049260267476
2062.1992887359593,4.304337332904389,5.550045778896822,117.09449336072471,126.06265221151692,135.89446477342162,146.67864074638427
2062.448936223959,4.162433820519147,5.3769580975448115,117.19947432885738,126.17530362577655,136.01552531488804,146.8089249693444
2062.698583711959,4.041976646678153,5.2777503578195475,117.29028415556117,126.27257322438892,136.11987677585967,146.92104428079307
2062.948231199959,4.000350960844814,5.291707892067587,117.32655178207678,126.31105233117195,136.16078033339517,146.9646071347083
2063.197878687959,3.9955911090693363,5.435229413191243,117.3418474243446,126.32652156492796,136.17643987588704,146.98047542028635
2063.447526175959,4.014671912968687,5.536595965641033,117.33012904062896,126.31372193728328,136.16245487811,146.96519023090988
2063.697173663959,4.0576171226959845,5.673728205115787,117.30055826467581,126.28178696011067,136.1279280218644,146.92782043193642
2063.946821151959,4.112670956454653,5.875543462290734,117.27047623784807,126.24873115113172,136.09161204887664,146.88792849753264
2064.1964686399588,4.140355470526375,5.961656370091684,117.25664584842592,126.23340516143908,136.07464642926982,146.86916442444493
2064.4461161279587,4.172910792025158,6.013777472693355,117.23734157620557,126.21231702624033,136.05160264110683,146.8439755480212
2064.6957636159586,4.199887581877499,6.042277180252061,117.217859295296,126.19133554748421,136.02897758840595,146.8195477157684
2064.9454111039586,4.227114158055623,6.065576941168478,117.19627544536341,126.16826332782745,136.00427366569897,146.79305403428424
2065.1950585919585,4.259877649640552,6.090432241678742,117.16935077316145,126.13958322383428,135.97366907791562,146.76033854663171
